x,y,crash,resto,atm,super,bar,busstp,cafe,conven,deptst,fastfd,gc,hotel,market,metro,temple
121.5589316,24.98050449,244,16,0,1,0,2,1,2,0,0,0,0,0,0,0
121.567688,24.97986558,179,3,1,0,0,15,1,1,0,0,0,0,0,0,2
121.5673925,24.9826004,542,21,0,1,0,4,4,4,0,2,1,0,0,0,0
121.5592087,24.98132736,407,32,1,2,0,8,0,3,0,3,0,0,0,0,0
121.5599523,24.98150602,295,30,0,0,0,4,1,2,0,2,0,0,0,0,0
121.5687893,24.98396305,458,64,0,2,0,8,1,4,0,0,0,0,0,0,0
121.5859112,24.97660536,288,13,1,0,0,44,5,4,0,0,0,0,0,0,11
121.5606362,24.98504123,596,20,0,0,0,7,0,2,0,0,1,0,0,0,0
121.5609735,24.98657996,263,11,0,1,0,1,0,1,0,1,0,0,0,0,0
121.5459724,24.98672333,1079,19,3,0,0,6,1,4,0,2,0,0,0,0,0
121.56922,24.98519962,821,26,1,0,0,14,0,6,0,1,0,0,0,0,0
121.5593808,24.98871516,526,22,0,0,0,6,0,3,0,0,0,0,0,0,0
121.5409045,24.9894634,1030,106,0,1,1,8,8,5,1,1,5,0,2,0,0
121.5523771,24.98903563,1225,45,0,1,0,10,4,5,0,2,0,0,0,0,2
121.5617693,24.98884684,307,15,0,0,0,4,1,4,0,3,0,0,0,0,0
121.5373069,24.99185396,263,7,0,1,0,1,1,2,0,1,1,0,0,0,0
121.5652897,24.98839446,654,40,1,2,0,11,4,2,0,2,0,0,0,0,0
121.544154,24.99246257,320,24,0,1,0,2,2,3,0,3,2,0,0,0,0
121.5598092,24.99537995,301,10,0,1,0,2,0,2,0,0,0,0,0,0,0
121.584072,24.9865471,281,20,1,0,0,31,0,3,0,0,0,0,0,0,2
121.5362564,24.99521389,342,9,2,1,0,7,1,3,0,0,1,0,0,1,1
121.5417011,24.9929382,665,51,0,0,1,5,8,7,0,2,1,0,0,0,0
121.5453378,24.99706832,278,19,0,1,0,4,2,1,0,1,0,0,0,0,0
121.5411222,24.9949058,428,18,0,1,0,1,3,3,0,0,1,0,0,0,0
121.554087,24.9998603,886,54,0,1,0,11,3,4,0,6,0,0,0,0,0
121.5474591,24.9989574,301,22,0,0,0,6,1,2,0,3,0,0,0,0,1
121.5512856,25.0011715,479,7,0,3,0,5,1,4,0,1,0,0,0,0,0
121.5405738,24.99888739,380,7,0,1,0,3,3,1,0,0,0,0,0,0,0
121.5603075,24.99687685,703,32,1,2,0,10,9,2,0,3,1,0,0,1,0
121.5363827,25.00003833,273,29,0,2,0,4,7,4,0,1,2,0,0,0,0
121.5713512,24.99501459,748,9,0,2,0,12,1,4,0,0,0,0,0,0,0
121.5431216,25.00075182,445,17,0,1,1,6,1,2,0,1,1,0,0,0,0
121.5397039,25.00031895,475,21,1,0,1,3,3,6,0,2,5,0,0,1,0
121.5826525,24.99999573,1000,73,3,1,1,24,4,9,0,5,0,0,0,1,1
121.5515729,25.00184215,201,9,0,1,0,5,3,3,0,1,0,0,0,0,0
121.5355404,25.0041645,293,2,0,2,0,7,0,0,0,0,0,0,0,0,0
121.5690572,24.9987614,354,0,0,0,0,23,0,0,0,0,0,0,0,1,1
121.5388474,25.00435433,376,10,0,0,1,3,2,3,0,1,1,0,0,0,0
121.5516708,25.00306786,203,10,0,2,0,7,0,2,0,4,1,0,0,0,0
121.5379303,25.00721446,1478,11,0,0,0,6,2,4,0,0,1,0,0,0,0
121.5532778,25.00144332,651,13,0,0,0,5,1,3,0,0,0,0,0,1,0
121.5586915,25.00736546,591,3,0,0,0,7,1,2,0,0,0,0,0,0,0
121.5345002,25.01348977,1356,107,1,0,4,6,17,4,0,4,1,0,1,0,0
121.575626,24.9997669,1358,6,0,2,0,38,0,3,0,0,0,0,0,1,1
121.5301716,25.01354507,452,7,1,0,0,3,1,1,1,0,0,0,0,0,0
121.5326078,25.01629572,1009,120,1,0,2,3,24,8,0,3,2,0,0,0,0
121.5598616,25.01761675,196,1,0,0,0,6,0,0,0,1,0,0,0,0,0
121.5506429,25.01683443,893,20,0,0,0,3,0,3,0,0,0,0,0,0,0
121.5565914,25.0206478,553,7,0,0,0,11,0,2,0,2,0,0,0,1,0
121.5253743,25.02083707,684,3,0,0,2,4,3,3,0,1,0,0,0,0,0
121.4932063,25.02047506,102,8,0,0,0,1,0,0,0,0,0,0,0,0,0
121.4952807,25.01615321,663,20,0,0,0,3,0,1,0,1,0,0,0,0,1
121.5004624,25.01740704,937,24,0,0,0,2,0,2,0,0,0,0,0,0,3
121.5030953,25.0195464,220,7,0,0,0,2,0,3,0,0,0,0,0,0,0
121.5294508,25.01956052,866,113,1,1,3,5,45,5,0,8,4,0,0,0,0
121.5379967,25.0085007,3446,54,8,0,0,28,6,11,0,6,1,0,0,1,1
121.5542758,25.0203635,398,43,0,1,0,3,3,5,0,2,0,0,0,0,0
121.4918901,25.02076262,302,3,0,0,0,1,0,0,0,0,0,0,0,0,0
121.5589991,25.01853954,172,18,0,1,0,1,0,3,0,0,0,0,0,0,0
121.5301311,25.02346755,360,25,0,2,0,5,7,4,0,0,0,0,0,1,1
121.5168941,25.02181908,445,4,0,0,0,0,0,3,0,0,0,0,0,0,1
121.5706004,25.01972964,219,0,1,0,0,6,0,0,0,0,0,0,1,0,0
121.5238278,25.02150835,479,12,0,2,0,2,2,2,0,0,0,0,0,0,0
121.4960837,25.02136369,201,7,0,0,0,3,0,2,0,2,0,0,0,0,0
121.5507175,25.02197028,1207,18,0,2,1,6,4,2,0,3,1,0,0,1,0
121.5565493,25.02121945,496,28,0,1,0,4,5,4,0,2,0,0,0,0,0
121.492529,25.0220696,122,3,0,0,0,1,0,1,0,0,0,0,0,0,0
121.5502176,25.02242384,1285,18,3,0,0,5,8,5,0,2,0,0,0,0,0
121.5466595,25.02459727,928,7,0,0,0,4,4,0,0,1,2,0,0,0,0
121.5002504,25.0220601,291,23,0,0,0,3,0,2,0,0,0,0,0,0,0
121.5428515,25.02266879,680,91,1,0,1,4,12,4,0,1,5,0,0,0,0
121.5025096,25.0230469,136,14,0,0,0,3,0,2,0,0,0,0,0,0,0
121.5235664,25.02386991,763,42,0,0,1,4,9,3,0,2,1,0,0,0,0
121.5118826,25.02392394,330,2,0,1,0,12,0,0,0,0,0,0,0,0,1
121.5003986,25.025356,380,33,0,0,0,2,1,1,0,1,0,0,0,0,0
121.5334338,25.02606775,452,13,3,2,0,3,4,3,0,1,0,0,1,0,1
121.5299608,25.02638881,283,67,1,0,0,2,4,2,0,2,0,0,0,0,1
121.507074,25.0267374,173,13,0,0,0,2,0,0,0,0,0,0,0,0,1
121.4915661,25.02489982,472,13,0,0,0,2,1,1,0,1,0,0,0,0,0
121.5658235,25.0253675,189,7,0,0,0,0,0,6,0,2,0,0,0,0,2
121.5284547,25.02651441,827,57,1,1,1,8,16,4,0,2,0,0,0,0,1
121.5700078,25.023721,273,5,1,2,0,9,0,3,0,0,0,0,0,0,4
121.5216462,25.02409995,546,27,1,2,1,2,3,3,0,0,0,0,0,1,2
121.5181181,25.0262761,903,13,0,0,0,5,0,5,0,2,0,0,0,0,2
121.5164902,25.02178052,828,3,0,0,0,4,0,1,0,0,0,0,0,0,0
121.5559051,25.0270959,833,5,0,2,0,3,1,3,0,0,0,0,1,0,0
121.5625277,25.02551026,316,22,0,0,0,11,0,4,0,3,0,0,0,0,0
121.4941225,25.02645644,511,59,0,1,0,4,3,2,0,2,0,0,0,0,0
121.5459809,25.02562635,66,8,1,1,0,0,0,0,0,4,1,0,0,0,0
121.5440364,25.02570582,823,44,2,5,1,5,7,7,0,5,0,0,0,1,0
121.5517714,25.02646232,697,8,0,1,1,4,1,3,0,0,0,0,0,0,1
121.5433179,25.02640604,553,26,4,1,1,5,3,3,0,3,1,0,0,0,1
121.4951532,25.02873477,798,19,0,1,0,5,0,5,0,5,1,0,0,0,1
121.5091564,25.0249713,246,28,0,2,0,4,0,2,0,2,0,0,0,0,2
121.5115196,25.02427436,440,25,0,0,0,8,1,3,0,0,0,0,0,0,1
121.5490138,25.02752374,656,23,0,0,3,8,8,6,1,1,0,0,0,0,0
121.5034209,25.02602955,436,12,0,1,0,5,1,5,0,3,0,0,0,0,0
121.4997842,25.02632602,550,20,0,0,0,4,0,2,0,0,0,0,0,0,0
121.5005971,25.02930648,372,19,0,0,0,1,0,2,0,0,0,0,0,0,0
121.5227915,25.0271426,503,26,2,2,1,4,3,3,0,3,0,0,0,0,0
121.5602414,25.02590688,500,12,0,1,0,3,0,2,0,2,0,0,1,0,0
121.5023248,25.02963719,138,7,1,3,0,2,3,3,0,1,0,0,1,0,0
121.5566367,25.02685313,716,8,0,0,1,1,2,2,0,0,0,0,0,0,0
121.5263547,25.02887332,460,26,2,0,1,6,5,2,0,2,0,0,1,0,0
121.5541952,25.03014684,557,9,0,0,0,1,0,2,0,1,0,0,0,0,0
121.5427664,25.02781191,312,35,0,0,0,3,5,1,0,2,0,0,0,0,0
121.5075228,25.0302262,483,74,0,1,0,3,3,2,0,1,0,0,0,0,0
121.534792,25.02610561,651,13,1,1,0,3,5,2,0,0,0,0,0,0,0
121.5112798,25.02940215,455,12,0,0,0,9,0,1,0,0,0,0,0,0,0
121.5452527,25.02916093,554,23,0,0,1,1,0,2,0,0,0,0,0,0,0
121.5385032,25.02879911,219,10,0,1,0,1,2,2,0,1,1,0,0,0,0
121.5194337,25.03098802,1220,54,4,2,0,16,6,7,0,6,0,0,0,0,0
121.5152047,25.02977028,496,11,0,0,0,4,2,2,0,2,0,0,0,0,1
121.5225488,25.03229528,355,3,0,0,0,3,2,0,0,0,0,0,0,0,0
121.4955782,25.02878889,666,47,0,0,0,5,0,4,0,2,0,0,0,0,0
121.4985767,25.03270039,646,13,0,0,0,6,0,0,0,0,0,0,0,0,0
121.5649235,25.02814345,1057,20,1,2,0,11,6,7,0,3,0,0,0,0,0
121.5649339,25.02914219,759,14,0,0,1,9,8,4,0,1,0,0,1,0,2
121.5595453,25.03268592,694,24,0,0,0,1,3,4,0,2,0,0,0,0,1
121.5557441,25.03294769,613,41,0,2,0,2,4,2,0,1,0,0,2,0,0
121.5533003,25.03170197,501,28,0,0,0,1,5,4,0,1,2,0,0,0,0
121.5523658,25.03170468,898,15,1,3,0,4,5,4,0,2,0,0,0,0,0
121.5041647,25.03001996,468,6,0,1,0,3,1,2,0,0,0,0,0,0,0
121.546104,25.03318792,669,44,2,0,1,2,9,5,0,4,0,0,0,0,0
121.5427567,25.03325998,679,35,0,0,0,2,12,6,0,1,0,0,0,1,1
121.537084,25.03342386,1628,9,1,0,0,10,3,2,0,1,0,0,0,0,0
121.5695122,25.02675925,708,8,0,0,0,6,4,2,0,0,0,0,0,0,0
121.4914162,25.03203369,520,15,0,0,0,4,0,3,0,0,0,0,0,0,0
121.5305555,25.0327299,521,27,0,1,0,4,14,4,0,0,0,0,0,0,0
121.5017674,25.0330151,778,28,0,1,0,11,0,1,0,1,0,0,0,0,0
121.5275183,25.0320431,608,87,0,0,1,6,17,4,0,5,1,0,0,1,0
121.5594849,25.03308032,858,34,1,1,3,5,6,5,0,3,0,0,0,0,0
121.5190426,25.03370981,708,16,1,1,1,3,6,1,0,0,1,0,0,1,0
121.5175437,25.03263081,1363,66,1,1,0,9,10,5,0,5,2,0,1,0,0
121.4926625,25.03349821,974,9,0,0,0,5,1,3,0,1,0,0,0,0,0
121.4991991,25.03519907,446,19,0,1,1,6,3,1,0,1,1,0,0,0,0
121.5260663,25.03445156,402,11,0,0,0,7,2,1,0,1,0,0,0,0,0
121.5751147,25.0329372,205,17,0,0,0,3,0,4,0,1,0,0,0,0,0
121.4988244,25.03438165,1083,18,0,0,0,11,4,5,0,0,0,0,1,1,0
121.5137294,25.03174843,789,21,0,1,0,7,10,3,0,2,0,0,0,0,1
121.5073596,25.03684713,741,28,1,0,0,3,6,0,0,3,1,0,0,0,0
121.5793475,25.03147854,149,5,0,0,0,5,0,0,0,0,0,0,0,0,3
121.5612843,25.03742899,284,11,0,1,0,2,2,2,0,2,0,0,0,0,0
121.5556366,25.03492924,642,43,1,3,4,5,2,2,0,4,0,0,0,0,0
121.5526181,25.03331679,517,26,0,0,1,6,3,3,0,3,0,0,0,1,0
121.5277938,25.03614887,414,42,0,1,0,2,10,5,0,3,6,0,0,0,0
121.5491083,25.03753367,625,20,0,0,1,6,2,6,0,1,0,0,0,0,0
121.548044,25.03336092,603,30,0,1,1,4,4,3,0,2,0,0,0,0,0
121.5451419,25.036431,645,28,0,0,0,5,7,3,0,1,1,0,0,0,0
121.5435437,25.03565841,1067,32,1,0,0,10,3,2,0,2,0,0,0,0,0
121.5375974,25.03481559,927,20,0,2,0,8,3,5,0,2,0,0,0,1,0
121.5307099,25.0380833,519,21,2,0,0,2,1,3,0,2,5,0,0,0,2
121.6169898,25.03797778,287,9,0,0,0,19,0,2,0,0,0,0,0,0,20
121.5614983,25.03594088,2630,143,5,0,4,22,12,3,1,5,0,0,0,1,0
121.5747057,25.03369665,1076,11,1,1,1,7,2,6,0,3,0,0,0,1,0
121.5059673,25.03618285,686,33,1,0,0,5,7,2,0,2,0,0,0,0,0
121.5768696,25.0388185,261,39,0,0,0,3,1,2,0,0,0,0,0,0,0
121.5013692,25.03601421,607,33,1,0,0,7,3,5,0,1,0,0,0,0,0
121.4993965,25.03667315,674,38,0,1,0,7,3,3,0,2,2,0,0,1,0
121.5815076,25.03719669,237,25,0,0,0,2,0,1,0,0,0,0,0,0,0
121.5837665,25.0380783,273,17,0,0,0,2,0,1,0,0,0,0,0,0,4
121.5629463,25.0386999,1185,25,0,0,0,6,2,3,0,0,0,0,0,0,0
121.555256,25.03842241,695,26,0,2,2,4,8,4,0,1,0,0,0,0,0
121.5950477,25.03890685,51,1,0,0,0,4,0,2,0,0,0,0,0,0,3
121.5286397,25.03899125,716,20,0,0,0,9,6,3,0,0,0,0,0,0,0
121.548875,25.0414265,1215,46,1,1,2,4,6,8,0,3,0,0,0,0,0
121.5438769,25.04153816,1922,41,1,1,2,6,14,6,0,1,0,0,0,1,0
121.5436686,25.04156176,1206,17,0,2,0,7,1,5,1,2,0,0,0,0,1
121.5896018,25.03849279,114,6,0,1,0,3,1,1,0,0,0,0,0,0,2
121.585232,25.04115654,292,39,0,1,0,4,0,3,0,1,0,0,0,0,7
121.5076072,25.04048546,686,54,0,2,1,8,4,6,0,6,1,0,0,0,0
121.5114283,25.04127119,2641,45,2,0,0,20,6,9,0,1,1,0,0,1,3
121.495474,25.03837088,1184,7,0,0,0,1,0,1,0,0,0,0,0,0,0
121.4958233,25.0390474,1020,79,1,1,3,6,5,4,0,1,0,0,0,0,0
121.571519,25.041423,574,13,1,1,0,5,0,1,0,1,0,0,0,1,0
121.5302259,25.04110218,827,44,0,3,1,7,10,4,0,5,1,0,1,1,1
121.5788267,25.0398207,531,53,0,0,0,4,2,3,0,2,0,0,0,0,0
121.5169164,25.03585293,2170,34,1,0,0,17,4,7,0,5,1,1,0,0,2
121.62126,25.03931145,592,47,0,1,0,37,0,5,0,2,0,0,0,0,0
121.5639802,25.03999031,2633,142,1,2,2,30,20,9,1,6,0,1,0,1,0
121.5048185,25.0430034,1094,114,2,1,3,5,18,7,0,5,0,1,0,0,0
121.5826427,25.0404221,457,11,1,1,0,4,0,3,0,2,0,0,0,0,0
121.553186,25.04427912,971,41,0,0,2,3,6,5,0,1,0,0,0,0,1
121.537384,25.0417648,680,21,0,2,0,3,7,2,0,0,0,0,1,0,0
121.5437412,25.0443032,872,50,0,0,3,4,8,4,0,1,0,0,0,0,0
121.5001429,25.04207765,1400,12,0,0,0,2,1,1,0,0,0,0,0,0,0
121.5511637,25.04153459,1379,44,0,0,3,3,13,4,0,2,0,0,0,1,1
121.5468944,25.04519591,1916,129,1,1,4,4,13,7,0,2,1,1,0,0,0
121.557634,25.0439154,1451,67,2,2,5,3,11,7,0,1,1,0,0,1,1
121.5344034,25.03849716,2030,37,2,0,0,10,6,6,0,0,0,0,2,0,1
121.5791755,25.04158455,715,32,0,0,1,6,1,7,0,2,0,0,0,0,2
121.519078,25.04329678,1570,76,1,1,1,10,16,9,0,6,0,0,1,0,0
121.5837747,25.04382461,233,9,0,1,0,4,0,5,0,0,0,0,0,0,0
121.5771692,25.0432747,205,7,0,1,0,1,0,2,0,0,0,0,0,0,0
121.5736644,25.04340755,248,10,0,0,0,2,0,2,0,1,0,0,0,0,0
121.5702188,25.04305104,173,5,0,1,0,2,0,1,0,0,0,0,0,0,0
121.570094,25.043011,487,17,0,0,1,4,2,3,0,0,1,0,0,0,0
121.503121,25.04552274,1513,118,1,0,3,6,15,12,1,7,0,0,0,0,0
121.5928654,25.04403973,398,25,0,1,0,11,0,3,0,0,0,0,0,0,2
121.5383844,25.04540656,1272,22,0,1,0,9,7,3,0,0,0,0,0,0,1
121.5241945,25.0476987,3117,47,3,1,2,14,25,11,0,5,0,0,0,1,0
121.5855426,25.04649383,471,24,0,2,0,7,2,2,0,2,0,0,0,1,2
121.543939,25.04497395,719,20,0,0,1,3,5,3,0,0,0,0,0,0,0
121.5481417,25.04506769,330,1,0,0,0,2,2,1,0,0,0,0,0,0,0
121.5491643,25.0466167,749,43,0,2,2,2,4,4,0,0,0,0,0,0,1
121.554671,25.04463275,127,10,0,0,0,1,0,2,0,0,0,0,0,0,0
121.5552181,25.04689281,428,11,0,0,0,2,4,1,0,2,0,0,0,0,0
121.5438346,25.04801945,717,30,1,1,1,6,9,3,0,0,1,0,0,0,0
121.5726923,25.04564367,331,9,0,0,0,2,0,3,0,0,0,0,0,0,0
121.559189,25.04767902,659,39,0,0,0,7,1,2,0,1,0,0,0,0,0
121.5309992,25.0462505,1159,8,0,0,1,6,2,1,0,0,0,0,0,0,0
121.516417,25.04861742,5296,387,12,0,2,44,52,31,1,24,0,1,0,5,1
121.6151337,25.0463174,934,38,3,3,0,18,2,6,0,4,0,1,0,0,0
121.562918,25.043589,2442,41,0,0,1,8,14,7,0,3,0,1,0,0,2
121.5722369,25.04922746,808,2,0,0,0,4,1,1,0,0,0,0,0,0,0
121.5036836,25.04659738,2575,41,0,0,2,4,2,7,0,4,1,0,1,0,0
121.5777242,25.0489387,460,17,0,0,0,5,0,2,0,1,0,0,0,0,0
121.5778548,25.0489802,421,27,0,1,0,4,2,4,0,3,0,2,0,1,1
121.511351,25.04516381,2288,85,5,1,2,16,22,13,0,4,3,0,0,1,1
121.5851979,25.04797453,395,10,0,1,0,3,0,3,0,0,0,0,0,0,1
121.5863316,25.04866789,879,17,1,0,0,9,3,1,0,0,0,0,0,1,0
121.5661335,25.05128952,1453,43,0,1,0,9,9,7,0,2,0,0,0,0,0
121.5180254,25.04858757,1708,56,0,1,1,40,12,10,0,6,0,0,0,0,0
121.5637069,25.05137041,1731,74,0,2,0,4,8,9,0,8,0,0,0,0,0
121.5570042,25.04883195,823,45,2,2,0,2,1,5,0,2,0,0,0,0,0
121.5489194,25.04818714,1095,25,2,0,0,4,2,4,0,2,0,0,0,0,0
121.5438479,25.04833938,1468,96,0,0,1,5,16,9,0,3,3,0,0,0,0
